MUNICIPIO,MUNIC,POPULACAO,TOTAL_PER_CAPITA,COD_IBGE_SMALL,COD_IBGE,UF,TOTAL
AIMORÉS,AIMORÉS-MG,24871,0.6602066664,310110,3101102,MG,16420
AIUABA,AIUABA-CE,16253,1.9162616132,230040,2300408,CE,31145
AIURUOCA,AIURUOCA-MG,6239,0.3926911364,310120,3101201,MG,2450
AJURICABA,AJURICABA-RS,7411,2.0186209688,430020,4300208,RS,14960
ALAGOA,ALAGOA-MG,2917,1.7483716147,310130,3101300,MG,5100
ALAGOA GRANDE,ALAGOA GRANDE-PB,28246,0.7814479926,250030,2500304,PB,22072.78
ALAGOINHA,ALAGOINHA-PB,13389,2.5173866607,250050,2500502,PB,33705.29
ALAGOINHA DO PIAUÍ,ALAGOINHA DO PIAUÍ-PI,7662,7.3863221091,220025,2200251,PI,56594
ALAGOINHAS,ALAGOINHAS-BA,137202,1.5916313173,290070,2900702,BA,218375
ALAMBARI,ALAMBARI-SP,4325,0.7283236994,350075,3500758,SP,3150
ALBERTINA,ALBERTINA-MG,2966,0.1180040459,310140,3101409,MG,350
ALCÂNTARA,ALCÂNTARA-MA,21969,0.4779461969,210020,2100204,MA,10500
ALCÂNTARAS,ALCÂNTARAS-CE,10706,8.0141976462,230050,2300507,CE,85800
ALCANTIL,ALCANTIL-PB,5211,2.2498560737,250053,2500536,PB,11724
ALCINÓPOLIS,ALCINÓPOLIS-MS,4440,20.8040540541,500025,5000252,MS,92370
ALDEIAS ALTAS,ALDEIAS ALTAS-MA,22328,2.5644930133,210030,2100303,MA,57260
ALECRIM,ALECRIM-RS,7380,4.4031165312,430030,4300307,RS,32495
ALEGRE,ALEGRE-ES,31222,1.8232336173,320020,3200201,ES,56925
ALEGRETE,ALEGRETE-RS,79548,1.9131456479,430040,4300406,RS,152186.91
ALEGRETE DO PIAUÍ,ALEGRETE DO PIAUÍ-PI,4610,5.4318915401,220027,2200277,PI,25041.02
ALEGRIA,ALEGRIA-RS,4834,9.6419114605,430045,4300455,RS,46609
ALÉM PARAÍBA,ALÉM PARAÍBA-MG,34527,0.794239291,310150,3101508,MG,27422.7
ALENQUER,ALENQUER-PA,55688,0.0987645453,150040,1500404,PA,5500
ALEXANDRIA,ALEXANDRIA-RN,14127,1.0186876195,240050,2400505,RN,14391
ALEXÂNIA,ALEXÂNIA-GO,20661,3.8660853782,520030,5200308,GO,79877.19
ALFENAS,ALFENAS-MG,74505,1.6511103953,310160,3101607,MG,123015.98
ALFREDO CHAVES,ALFREDO CHAVES-ES,14507,1.8353208796,320030,3200300,ES,26625
ALFREDO VASCONCELOS,ALFREDO VASCONCELOS-MG,6194,2.7147368421,310163,3101631,MG,16815.08
ALGODÃO DE JANDAÍRA,ALGODÃO DE JANDAÍRA-PB,2407,4.1703157457,250057,2500577,PB,10037.95
ALHANDRA,ALHANDRA-PB,18674,2.7115615294,250060,2500601,PB,50635.7
ALIANÇA,ALIANÇA-PE,35446,0.8280200869,260070,2600708,PE,29350
ALMADINA,ALMADINA-BA,6742,0.1824384456,290090,2900900,BA,1230
ALMAS,ALMAS-TO,7692,1.3098023921,170040,1700400,TO,10075
ALMEIRIM,ALMEIRIM-PA,31475,1.9984146148,150050,1500503,PA,62900.1
ALMENARA,ALMENARA-MG,38269,0.3371658523,310170,3101706,MG,12903
ALMINO AFONSO,ALMINO AFONSO-RN,5087,10.1818360527,240060,2400604,RN,51795
ALMIRANTE TAMANDARÉ,ALMIRANTE TAMANDARÉ-PR,96739,1.0977866217,410040,4100400,PR,106198.78
ALMIRANTE TAMANDARÉ DO SUL,ALMIRANTE TAMANDARÉ DO SUL-RS,2212,0.9618264014,430047,4300471,RS,2127.56
ALOÂNDIA,ALOÂNDIA-GO,2121,0.4860914663,520050,5200506,GO,1031
ALPERCATA,ALPERCATA-MG,7231,8.6449066519,310180,3101805,MG,62511.32
ALPESTRE,ALPESTRE-RS,9017,1.9301120106,430050,4300505,RS,17403.82
ALPINÓPOLIS,ALPINÓPOLIS-MG,18486,0.2028562155,310190,3101904,MG,3750
ALTA FLORESTA,ALTA FLORESTA-MT,51136,4.0463958855,510025,5100250,MT,206916.5
ALTA FLORESTA DO OESTE,ALTA FLORESTA DO OESTE-RO,,,,,RO,36411.25
ALTAIR,ALTAIR-SP,3312,13.7016908213,350090,3500907,SP,45380
